SimTime,EventType,NodeID,Details
1,Initialization,node-1,Node initialized
1,Initialization,node-2,Node initialized
1,Initialization,node-3,Node initialized
1,Initialization,node-4,Node initialized
1,Initialization,node-5,Node initialized
50101,Timeout,node-1,Node timed out
50101,VoteReceived,node-1,Received vote from node 1
50101,VoteReceived,node-2,Received vote from node 1
50101,VoteReceived,node-4,Received vote from node 1
50101,VoteReceived,node-5,Received vote from node 1
50101,VoteReceived,node-3,Received vote from node 1
50201,Timeout,node-2,Node timed out
50201,VoteReceived,node-2,Received vote from node 2
50215,VoteReceived,node-1,Received vote from node 2
50215,VoteReceived,node-4,Received vote from node 2
50215,VoteReceived,node-5,Received vote from node 2
50215,VoteReceived,node-3,Received vote from node 2
50301,Timeout,node-3,Node timed out
50301,VoteReceived,node-3,Received vote from node 3
50330,VoteReceived,node-1,Received vote from node 3
50330,VoteReceived,node-4,Received vote from node 3
50330,VoteReceived,node-5,Received vote from node 3
50330,VoteReceived,node-2,Received vote from node 3
50330,VoteReceived,node-4,Received vote from node 4
50330,VoteReceived,node-5,Received vote from node 5
50373,VoteReceived,node-1,Received vote from node 4
50373,VoteReceived,node-4,Received vote from node 5
50373,VoteReceived,node-1,Received vote from node 5
50373,VoteReceived,node-3,Received vote from node 5
50373,VoteReceived,node-2,Received vote from node 5
50373,VoteReceived,node-2,Received vote from node 4
50373,VoteReceived,node-3,Received vote from node 4
50373,VoteReceived,node-5,Received vote from node 4
50401,Timeout,node-4,Node timed out
50501,Timeout,node-5,Node timed out
100201,Timeout,node-1,Node timed out
100401,Timeout,node-2,Node timed out
100473,Timeout,node-1,Node timed out
100473,SubmissionReceived,node-1,Received submission from node 1
100473,SubmissionReceived,node-2,Received submission from node 1
100473,SubmissionReceived,node-3,Received submission from node 1
100473,SubmissionReceived,node-4,Received submission from node 1
100473,SubmissionReceived,node-5,Received submission from node 1
100573,Timeout,node-2,Node timed out
100573,SubmissionReceived,node-2,Received submission from node 2
100587,SubmissionReceived,node-1,Received submission from node 2
100587,SubmissionReceived,node-3,Received submission from node 2
100587,SubmissionReceived,node-4,Received submission from node 2
100587,SubmissionReceived,node-5,Received submission from node 2
100601,Timeout,node-3,Node timed out
100673,Timeout,node-3,Node timed out
100673,SubmissionReceived,node-3,Received submission from node 3
100702,SubmissionReceived,node-1,Received submission from node 3
100702,SubmissionReceived,node-2,Received submission from node 3
100702,SubmissionReceived,node-4,Received submission from node 3
100702,SubmissionReceived,node-5,Received submission from node 3
100702,SubmissionReceived,node-4,Received submission from node 4
100702,SubmissionReceived,node-5,Received submission from node 5
100730,Timeout,node-4,Node timed out
100730,Timeout,node-4,Node timed out
100745,SubmissionReceived,node-5,Received submission from node 4
100745,SubmissionReceived,node-4,Received submission from node 5
100745,SubmissionReceived,node-2,Received submission from node 5
100745,SubmissionReceived,node-3,Received submission from node 5
100745,SubmissionReceived,node-1,Received submission from node 5
100745,SubmissionReceived,node-1,Received submission from node 4
100745,SubmissionReceived,node-3,Received submission from node 4
100745,SubmissionReceived,node-2,Received submission from node 4
100830,Timeout,node-5,Node timed out
100830,Timeout,node-5,Node timed out
150573,Timeout,node-1,Node timed out
150773,Timeout,node-2,Node timed out
150845,Timeout,node-1,Node timed out
150845,HashReceived,node-1,Received hash from node 1
150845,HashReceived,node-2,Received hash from node 1
150845,HashReceived,node-3,Received hash from node 1
150845,HashReceived,node-4,Received hash from node 1
150845,HashReceived,node-5,Received hash from node 1
150945,Timeout,node-2,Node timed out
150945,HashReceived,node-2,Received hash from node 2
150959,HashReceived,node-1,Received hash from node 2
150959,HashReceived,node-3,Received hash from node 2
150959,HashReceived,node-4,Received hash from node 2
150959,HashReceived,node-5,Received hash from node 2
150973,Timeout,node-3,Node timed out
151045,Timeout,node-3,Node timed out
151045,HashReceived,node-3,Received hash from node 3
151074,HashReceived,node-1,Received hash from node 3
151074,HashReceived,node-2,Received hash from node 3
151074,HashReceived,node-4,Received hash from node 3
151074,HashReceived,node-5,Received hash from node 3
151074,HashReceived,node-4,Received hash from node 4
151074,HashReceived,node-5,Received hash from node 5
151102,Timeout,node-4,Node timed out
151102,Timeout,node-4,Node timed out
151117,HashReceived,node-5,Received hash from node 4
151117,HashReceived,node-4,Received hash from node 5
151117,HashReceived,node-1,Received hash from node 4
151117,HashReceived,node-2,Received hash from node 5
151117,HashReceived,node-3,Received hash from node 5
151117,HashReceived,node-1,Received hash from node 5
151117,HashReceived,node-2,Received hash from node 4
151117,HashReceived,node-3,Received hash from node 4
151202,Timeout,node-5,Node timed out
151202,Timeout,node-5,Node timed out
200945,Timeout,node-1,Node timed out
201145,Timeout,node-2,Node timed out
201217,Timeout,node-1,Node timed out
201217,Initialization,node-1,Node initialized
201217,Registration,node-1,Registered in epoch 1
201317,Timeout,node-2,Node timed out
201317,Initialization,node-2,Node initialized
201317,Registration,node-2,Registered in epoch 1
201345,Timeout,node-3,Node timed out
201417,Timeout,node-3,Node timed out
201417,Initialization,node-3,Node initialized
201417,Registration,node-3,Registered in epoch 1
201474,Timeout,node-4,Node timed out
201474,Timeout,node-4,Node timed out
201474,Initialization,node-4,Node initialized
201474,Registration,node-4,Registered in epoch 1
201574,Timeout,node-5,Node timed out
201574,Timeout,node-5,Node timed out
201574,Initialization,node-5,Node initialized
201574,Registration,node-5,Registered in epoch 1
251317,Timeout,node-1,Node timed out
251317,VoteReceived,node-1,Received vote from node 1
251317,VoteReceived,node-2,Received vote from node 1
251317,VoteReceived,node-4,Received vote from node 1
251317,VoteReceived,node-5,Received vote from node 1
251317,VoteReceived,node-3,Received vote from node 1
251517,Timeout,node-2,Node timed out
251517,VoteReceived,node-2,Received vote from node 2
251531,VoteReceived,node-1,Received vote from node 2
251531,VoteReceived,node-4,Received vote from node 2
251531,VoteReceived,node-5,Received vote from node 2
251531,VoteReceived,node-3,Received vote from node 2
251717,Timeout,node-3,Node timed out
251717,VoteReceived,node-3,Received vote from node 3
251746,VoteReceived,node-1,Received vote from node 3
251746,VoteReceived,node-4,Received vote from node 3
251746,VoteReceived,node-5,Received vote from node 3
251746,VoteReceived,node-2,Received vote from node 3
251746,VoteReceived,node-4,Received vote from node 4
251746,VoteReceived,node-5,Received vote from node 5
251789,VoteReceived,node-1,Received vote from node 4
251789,VoteReceived,node-4,Received vote from node 5
251789,VoteReceived,node-1,Received vote from node 5
251789,VoteReceived,node-3,Received vote from node 5
251789,VoteReceived,node-2,Received vote from node 5
251789,VoteReceived,node-2,Received vote from node 4
251789,VoteReceived,node-3,Received vote from node 4
251789,VoteReceived,node-5,Received vote from node 4
251874,Timeout,node-4,Node timed out
252074,Timeout,node-5,Node timed out
301417,Timeout,node-1,Node timed out
301717,Timeout,node-2,Node timed out
301889,Timeout,node-1,Node timed out
301889,SubmissionReceived,node-1,Received submission from node 1
301889,SubmissionReceived,node-2,Received submission from node 1
301889,SubmissionReceived,node-3,Received submission from node 1
301889,SubmissionReceived,node-4,Received submission from node 1
301889,SubmissionReceived,node-5,Received submission from node 1
301989,Timeout,node-2,Node timed out
301989,SubmissionReceived,node-2,Received submission from node 2
302003,SubmissionReceived,node-1,Received submission from node 2
302003,SubmissionReceived,node-3,Received submission from node 2
302003,SubmissionReceived,node-4,Received submission from node 2
302003,SubmissionReceived,node-5,Received submission from node 2
302017,Timeout,node-3,Node timed out
302089,Timeout,node-3,Node timed out
302089,SubmissionReceived,node-3,Received submission from node 3
302118,SubmissionReceived,node-1,Received submission from node 3
302118,SubmissionReceived,node-2,Received submission from node 3
302118,SubmissionReceived,node-4,Received submission from node 3
302118,SubmissionReceived,node-5,Received submission from node 3
302118,SubmissionReceived,node-4,Received submission from node 4
302118,SubmissionReceived,node-5,Received submission from node 5
302146,Timeout,node-4,Node timed out
302146,Timeout,node-4,Node timed out
302161,SubmissionReceived,node-5,Received submission from node 4
302161,SubmissionReceived,node-4,Received submission from node 5
302161,SubmissionReceived,node-1,Received submission from node 4
302161,SubmissionReceived,node-2,Received submission from node 5
