SimTime,NodeID,OldState,NewState
1,node-1,WAITING,WAITING
1,node-2,WAITING,WAITING
1,node-3,WAITING,WAITING
1,node-4,WAITING,WAITING
1,node-5,WAITING,WAITING
50101,node-1,WAITING,INITIATED
50201,node-2,WAITING,INITIATED
50301,node-3,WAITING,INITIATED
50330,node-4,WAITING,INITIATED
50330,node-5,WAITING,INITIATED
50330,node-4,INITIATED,WAITING_VALIDATE_SUBMISSIONS
50330,node-5,INITIATED,WAITING_VALIDATE_SUBMISSIONS
50373,node-1,INITIATED,WAITING_VALIDATE_SUBMISSIONS
50373,node-3,INITIATED,WAITING_VALIDATE_SUBMISSIONS
50373,node-2,INITIATED,WAITING_VALIDATE_SUBMISSIONS
100473,node-1,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
100573,node-2,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
100673,node-3,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
100702,node-4,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
100702,node-5,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
100702,node-4,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
100702,node-5,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
100745,node-2,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
100745,node-3,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
100745,node-1,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
150845,node-1,WAITING_VALIDATE_HASH,VALIDATE_HASH
150945,node-2,WAITING_VALIDATE_HASH,VALIDATE_HASH
151045,node-3,WAITING_VALIDATE_HASH,VALIDATE_HASH
151074,node-4,WAITING_VALIDATE_HASH,VALIDATE_HASH
151074,node-5,WAITING_VALIDATE_HASH,VALIDATE_HASH
151074,node-4,VALIDATE_HASH,COMPLETED
151074,node-5,VALIDATE_HASH,COMPLETED
151117,node-1,VALIDATE_HASH,COMPLETED
151117,node-2,VALIDATE_HASH,COMPLETED
151117,node-3,VALIDATE_HASH,COMPLETED
201217,node-1,COMPLETED,WAITING
201317,node-2,COMPLETED,WAITING
201417,node-3,COMPLETED,WAITING
201474,node-4,COMPLETED,WAITING
201574,node-5,COMPLETED,WAITING
251317,node-1,WAITING,INITIATED
251517,node-2,WAITING,INITIATED
251717,node-3,WAITING,INITIATED
251746,node-4,WAITING,INITIATED
251746,node-5,WAITING,INITIATED
251746,node-4,INITIATED,WAITING_VALIDATE_SUBMISSIONS
251746,node-5,INITIATED,WAITING_VALIDATE_SUBMISSIONS
251789,node-1,INITIATED,WAITING_VALIDATE_SUBMISSIONS
251789,node-3,INITIATED,WAITING_VALIDATE_SUBMISSIONS
251789,node-2,INITIATED,WAITING_VALIDATE_SUBMISSIONS
301889,node-1,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
301989,node-2,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
302089,node-3,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
302118,node-4,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
302118,node-5,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
302118,node-4,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
302118,node-5,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
302161,node-1,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
302161,node-2,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
302161,node-3,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
352261,node-1,WAITING_VALIDATE_HASH,VALIDATE_HASH
352361,node-2,WAITING_VALIDATE_HASH,VALIDATE_HASH
352461,node-3,WAITING_VALIDATE_HASH,VALIDATE_HASH
352490,node-4,WAITING_VALIDATE_HASH,VALIDATE_HASH
352490,node-5,WAITING_VALIDATE_HASH,VALIDATE_HASH
352490,node-4,VALIDATE_HASH,COMPLETED
352490,node-5,VALIDATE_HASH,COMPLETED
352533,node-1,VALIDATE_HASH,COMPLETED
352533,node-2,VALIDATE_HASH,COMPLETED
352533,node-3,VALIDATE_HASH,COMPLETED
402633,node-1,COMPLETED,WAITING
402733,node-2,COMPLETED,WAITING
402833,node-3,COMPLETED,WAITING
402890,node-4,COMPLETED,WAITING
402990,node-5,COMPLETED,WAITING
452733,node-1,WAITING,INITIATED
452933,node-2,WAITING,INITIATED
453133,node-3,WAITING,INITIATED
453162,node-4,WAITING,INITIATED
453162,node-5,WAITING,INITIATED
453162,node-4,INITIATED,WAITING_VALIDATE_SUBMISSIONS
453162,node-5,INITIATED,WAITING_VALIDATE_SUBMISSIONS
453205,node-1,INITIATED,WAITING_VALIDATE_SUBMISSIONS
453205,node-3,INITIATED,WAITING_VALIDATE_SUBMISSIONS
453205,node-2,INITIATED,WAITING_VALIDATE_SUBMISSIONS
503305,node-1,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
503405,node-2,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
503505,node-3,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
503534,node-4,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
