SimTime	Sender	Receiver	Type	Details
50101	node-1	node-1	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@31610302
50101	node-1	node-2	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@31610302
50101	node-1	node-4	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@31610302
50101	node-1	node-5	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@31610302
50101	node-1	node-3	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@31610302
50201	node-2	node-2	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@71318ec4
50215	node-2	node-1	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@71318ec4
50215	node-2	node-4	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@71318ec4
50215	node-2	node-5	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@71318ec4
50215	node-2	node-3	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@71318ec4
50301	node-3	node-3	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@21213b92
50330	node-3	node-1	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@21213b92
50330	node-3	node-4	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@21213b92
50330	node-3	node-5	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@21213b92
50330	node-3	node-2	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@21213b92
50330	node-4	node-4	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@a67c67e
50330	node-5	node-5	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@3327bd23
50373	node-4	node-1	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@a67c67e
50373	node-5	node-4	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@3327bd23
50373	node-5	node-1	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@3327bd23
50373	node-5	node-3	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@3327bd23
50373	node-5	node-2	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@3327bd23
50373	node-4	node-2	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@a67c67e
50373	node-4	node-3	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@a67c67e
50373	node-4	node-5	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@a67c67e
100473	node-1	node-1	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@31610302, cmg.cnsim.testblockchain.node.Vote@71318ec4, cmg.cnsim.testblockchain.node.Vote@21213b92, cmg.cnsim.testblockchain.node.Vote@a67c67e, cmg.cnsim.testblockchain.node.Vote@3327bd23]
100473	node-1	node-2	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@31610302, cmg.cnsim.testblockchain.node.Vote@71318ec4, cmg.cnsim.testblockchain.node.Vote@21213b92, cmg.cnsim.testblockchain.node.Vote@a67c67e, cmg.cnsim.testblockchain.node.Vote@3327bd23]
100473	node-1	node-3	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@31610302, cmg.cnsim.testblockchain.node.Vote@71318ec4, cmg.cnsim.testblockchain.node.Vote@21213b92, cmg.cnsim.testblockchain.node.Vote@a67c67e, cmg.cnsim.testblockchain.node.Vote@3327bd23]
100473	node-1	node-4	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@31610302, cmg.cnsim.testblockchain.node.Vote@71318ec4, cmg.cnsim.testblockchain.node.Vote@21213b92, cmg.cnsim.testblockchain.node.Vote@a67c67e, cmg.cnsim.testblockchain.node.Vote@3327bd23]
100473	node-1	node-5	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@31610302, cmg.cnsim.testblockchain.node.Vote@71318ec4, cmg.cnsim.testblockchain.node.Vote@21213b92, cmg.cnsim.testblockchain.node.Vote@a67c67e, cmg.cnsim.testblockchain.node.Vote@3327bd23]
100573	node-2	node-2	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@31610302, cmg.cnsim.testblockchain.node.Vote@71318ec4, cmg.cnsim.testblockchain.node.Vote@21213b92, cmg.cnsim.testblockchain.node.Vote@a67c67e, cmg.cnsim.testblockchain.node.Vote@3327bd23]
100587	node-2	node-1	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@31610302, cmg.cnsim.testblockchain.node.Vote@71318ec4, cmg.cnsim.testblockchain.node.Vote@21213b92, cmg.cnsim.testblockchain.node.Vote@a67c67e, cmg.cnsim.testblockchain.node.Vote@3327bd23]
100587	node-2	node-3	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@31610302, cmg.cnsim.testblockchain.node.Vote@71318ec4, cmg.cnsim.testblockchain.node.Vote@21213b92, cmg.cnsim.testblockchain.node.Vote@a67c67e, cmg.cnsim.testblockchain.node.Vote@3327bd23]
100587	node-2	node-4	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@31610302, cmg.cnsim.testblockchain.node.Vote@71318ec4, cmg.cnsim.testblockchain.node.Vote@21213b92, cmg.cnsim.testblockchain.node.Vote@a67c67e, cmg.cnsim.testblockchain.node.Vote@3327bd23]
100587	node-2	node-5	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@31610302, cmg.cnsim.testblockchain.node.Vote@71318ec4, cmg.cnsim.testblockchain.node.Vote@21213b92, cmg.cnsim.testblockchain.node.Vote@a67c67e, cmg.cnsim.testblockchain.node.Vote@3327bd23]
100673	node-3	node-3	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@31610302, cmg.cnsim.testblockchain.node.Vote@71318ec4, cmg.cnsim.testblockchain.node.Vote@21213b92, cmg.cnsim.testblockchain.node.Vote@a67c67e, cmg.cnsim.testblockchain.node.Vote@3327bd23]
100702	node-3	node-1	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@31610302, cmg.cnsim.testblockchain.node.Vote@71318ec4, cmg.cnsim.testblockchain.node.Vote@21213b92, cmg.cnsim.testblockchain.node.Vote@a67c67e, cmg.cnsim.testblockchain.node.Vote@3327bd23]
100702	node-3	node-2	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@31610302, cmg.cnsim.testblockchain.node.Vote@71318ec4, cmg.cnsim.testblockchain.node.Vote@21213b92, cmg.cnsim.testblockchain.node.Vote@a67c67e, cmg.cnsim.testblockchain.node.Vote@3327bd23]
100702	node-3	node-4	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@31610302, cmg.cnsim.testblockchain.node.Vote@71318ec4, cmg.cnsim.testblockchain.node.Vote@21213b92, cmg.cnsim.testblockchain.node.Vote@a67c67e, cmg.cnsim.testblockchain.node.Vote@3327bd23]
100702	node-3	node-5	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@31610302, cmg.cnsim.testblockchain.node.Vote@71318ec4, cmg.cnsim.testblockchain.node.Vote@21213b92, cmg.cnsim.testblockchain.node.Vote@a67c67e, cmg.cnsim.testblockchain.node.Vote@3327bd23]
100702	node-4	node-4	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@31610302, cmg.cnsim.testblockchain.node.Vote@71318ec4, cmg.cnsim.testblockchain.node.Vote@21213b92, cmg.cnsim.testblockchain.node.Vote@a67c67e, cmg.cnsim.testblockchain.node.Vote@3327bd23]
100702	node-5	node-5	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@31610302, cmg.cnsim.testblockchain.node.Vote@71318ec4, cmg.cnsim.testblockchain.node.Vote@21213b92, cmg.cnsim.testblockchain.node.Vote@a67c67e, cmg.cnsim.testblockchain.node.Vote@3327bd23]
100745	node-4	node-5	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@31610302, cmg.cnsim.testblockchain.node.Vote@71318ec4, cmg.cnsim.testblockchain.node.Vote@21213b92, cmg.cnsim.testblockchain.node.Vote@a67c67e, cmg.cnsim.testblockchain.node.Vote@3327bd23]
100745	node-5	node-4	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@31610302, cmg.cnsim.testblockchain.node.Vote@71318ec4, cmg.cnsim.testblockchain.node.Vote@21213b92, cmg.cnsim.testblockchain.node.Vote@a67c67e, cmg.cnsim.testblockchain.node.Vote@3327bd23]
100745	node-5	node-2	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@31610302, cmg.cnsim.testblockchain.node.Vote@71318ec4, cmg.cnsim.testblockchain.node.Vote@21213b92, cmg.cnsim.testblockchain.node.Vote@a67c67e, cmg.cnsim.testblockchain.node.Vote@3327bd23]
100745	node-5	node-3	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@31610302, cmg.cnsim.testblockchain.node.Vote@71318ec4, cmg.cnsim.testblockchain.node.Vote@21213b92, cmg.cnsim.testblockchain.node.Vote@a67c67e, cmg.cnsim.testblockchain.node.Vote@3327bd23]
100745	node-5	node-1	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@31610302, cmg.cnsim.testblockchain.node.Vote@71318ec4, cmg.cnsim.testblockchain.node.Vote@21213b92, cmg.cnsim.testblockchain.node.Vote@a67c67e, cmg.cnsim.testblockchain.node.Vote@3327bd23]
100745	node-4	node-1	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@31610302, cmg.cnsim.testblockchain.node.Vote@71318ec4, cmg.cnsim.testblockchain.node.Vote@21213b92, cmg.cnsim.testblockchain.node.Vote@a67c67e, cmg.cnsim.testblockchain.node.Vote@3327bd23]
100745	node-4	node-3	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@31610302, cmg.cnsim.testblockchain.node.Vote@71318ec4, cmg.cnsim.testblockchain.node.Vote@21213b92, cmg.cnsim.testblockchain.node.Vote@a67c67e, cmg.cnsim.testblockchain.node.Vote@3327bd23]
100745	node-4	node-2	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@31610302, cmg.cnsim.testblockchain.node.Vote@71318ec4, cmg.cnsim.testblockchain.node.Vote@21213b92, cmg.cnsim.testblockchain.node.Vote@a67c67e, cmg.cnsim.testblockchain.node.Vote@3327bd23]
150845	node-1	node-1	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@4fe3c938
150845	node-1	node-2	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@4fe3c938
150845	node-1	node-3	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@4fe3c938
150845	node-1	node-4	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@4fe3c938
150845	node-1	node-5	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@4fe3c938
150945	node-2	node-2	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@5383967b
150959	node-2	node-1	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@5383967b
150959	node-2	node-3	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@5383967b
150959	node-2	node-4	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@5383967b
150959	node-2	node-5	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@5383967b
151045	node-3	node-3	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@2ac273d3
151074	node-3	node-1	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@2ac273d3
151074	node-3	node-2	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@2ac273d3
151074	node-3	node-4	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@2ac273d3
151074	node-3	node-5	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@2ac273d3
151074	node-4	node-4	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@71423665
151074	node-5	node-5	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@20398b7c
151117	node-4	node-5	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@71423665
151117	node-5	node-4	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@20398b7c
151117	node-4	node-1	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@71423665
151117	node-5	node-2	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@20398b7c
151117	node-5	node-3	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@20398b7c
151117	node-5	node-1	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@20398b7c
151117	node-4	node-2	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@71423665
151117	node-4	node-3	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@71423665
251317	node-1	node-1	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@520a3426
251317	node-1	node-2	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@520a3426
251317	node-1	node-4	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@520a3426
251317	node-1	node-5	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@520a3426
251317	node-1	node-3	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@520a3426
251517	node-2	node-2	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@18eed359
251531	node-2	node-1	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@18eed359
251531	node-2	node-4	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@18eed359
251531	node-2	node-5	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@18eed359
251531	node-2	node-3	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@18eed359
251717	node-3	node-3	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@3e9b1010
251746	node-3	node-1	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@3e9b1010
251746	node-3	node-4	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@3e9b1010
251746	node-3	node-5	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@3e9b1010
251746	node-3	node-2	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@3e9b1010
251746	node-4	node-4	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@6c3708b3
251746	node-5	node-5	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@6f1fba17
251789	node-4	node-1	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@6c3708b3
251789	node-5	node-4	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@6f1fba17
251789	node-5	node-1	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@6f1fba17
251789	node-5	node-3	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@6f1fba17
251789	node-5	node-2	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@6f1fba17
251789	node-4	node-2	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@6c3708b3
251789	node-4	node-3	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@6c3708b3
251789	node-4	node-5	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@6c3708b3
301889	node-1	node-1	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@520a3426, cmg.cnsim.testblockchain.node.Vote@18eed359, cmg.cnsim.testblockchain.node.Vote@3e9b1010, cmg.cnsim.testblockchain.node.Vote@6c3708b3, cmg.cnsim.testblockchain.node.Vote@6f1fba17]
301889	node-1	node-2	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@520a3426, cmg.cnsim.testblockchain.node.Vote@18eed359, cmg.cnsim.testblockchain.node.Vote@3e9b1010, cmg.cnsim.testblockchain.node.Vote@6c3708b3, cmg.cnsim.testblockchain.node.Vote@6f1fba17]
301889	node-1	node-3	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@520a3426, cmg.cnsim.testblockchain.node.Vote@18eed359, cmg.cnsim.testblockchain.node.Vote@3e9b1010, cmg.cnsim.testblockchain.node.Vote@6c3708b3, cmg.cnsim.testblockchain.node.Vote@6f1fba17]
301889	node-1	node-4	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@520a3426, cmg.cnsim.testblockchain.node.Vote@18eed359, cmg.cnsim.testblockchain.node.Vote@3e9b1010, cmg.cnsim.testblockchain.node.Vote@6c3708b3, cmg.cnsim.testblockchain.node.Vote@6f1fba17]
301889	node-1	node-5	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@520a3426, cmg.cnsim.testblockchain.node.Vote@18eed359, cmg.cnsim.testblockchain.node.Vote@3e9b1010, cmg.cnsim.testblockchain.node.Vote@6c3708b3, cmg.cnsim.testblockchain.node.Vote@6f1fba17]
301989	node-2	node-2	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@520a3426, cmg.cnsim.testblockchain.node.Vote@18eed359, cmg.cnsim.testblockchain.node.Vote@3e9b1010, cmg.cnsim.testblockchain.node.Vote@6c3708b3, cmg.cnsim.testblockchain.node.Vote@6f1fba17]
302003	node-2	node-1	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@520a3426, cmg.cnsim.testblockchain.node.Vote@18eed359, cmg.cnsim.testblockchain.node.Vote@3e9b1010, cmg.cnsim.testblockchain.node.Vote@6c3708b3, cmg.cnsim.testblockchain.node.Vote@6f1fba17]
302003	node-2	node-3	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@520a3426, cmg.cnsim.testblockchain.node.Vote@18eed359, cmg.cnsim.testblockchain.node.Vote@3e9b1010, cmg.cnsim.testblockchain.node.Vote@6c3708b3, cmg.cnsim.testblockchain.node.Vote@6f1fba17]
302003	node-2	node-4	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@520a3426, cmg.cnsim.testblockchain.node.Vote@18eed359, cmg.cnsim.testblockchain.node.Vote@3e9b1010, cmg.cnsim.testblockchain.node.Vote@6c3708b3, cmg.cnsim.testblockchain.node.Vote@6f1fba17]
302003	node-2	node-5	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@520a3426, cmg.cnsim.testblockchain.node.Vote@18eed359, cmg.cnsim.testblockchain.node.Vote@3e9b1010, cmg.cnsim.testblockchain.node.Vote@6c3708b3, cmg.cnsim.testblockchain.node.Vote@6f1fba17]
302089	node-3	node-3	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@520a3426, cmg.cnsim.testblockchain.node.Vote@18eed359, cmg.cnsim.testblockchain.node.Vote@3e9b1010, cmg.cnsim.testblockchain.node.Vote@6c3708b3, cmg.cnsim.testblockchain.node.Vote@6f1fba17]
302118	node-3	node-1	NodeReceivesSubmission	[cmg.cnsim.testblockchain.node.Vote@520a3426, cmg.cnsim.testblockchain.node.Vote@18eed359, cmg.cnsim.testblockchain.node.Vote@3e9b1010, cmg.cnsim.testblockchain.node.Vote@6c3708b3, cmg.cnsim.testblockchain.node.Vote@6f1fba17]
